Date,SPXindex,USindex
31/12/1991,417.09,100
31/01/1992,409.3283,97.353
28/02/1992,414.6223,97.893
31/03/1992,406.5655,97.027
30/04/1992,418.4872,97.548
29/05/1992,420.5647,99.605
30/06/1992,414.3106,101.548
31/07/1992,431.2222,104.881
31/08/1992,422.4098,106.097
30/09/1992,427.3768,108.197
30/10/1992,428.8421,105.986
30/11/1992,443.401,105.49
31/12/1992,448.8336,107.724
29/01/1993,452.5821,110.025
26/02/1993,458.7449,112.664
31/03/1993,468.4236,113.15
30/04/1993,457.1008,114.235
31/05/1993,469.2862,113.94
30/06/1993,470.6475,117.32
30/07/1993,468.7545,117.858
31/08/1993,486.4926,120.855
30/09/1993,482.743,121.893
29/10/1993,492.7224,121.995
30/11/1993,488.0246,120.301
31/12/1993,493.9133,121.048
31/01/1994,510.6919,123.347
28/02/1994,496.8426,119.81
31/03/1994,475.2309,115.988
29/04/1994,481.3186,114.612
31/05/1994,489.1796,114.593
30/06/1994,477.2185,114.028
29/07/1994,492.8532,116.351
31/08/1994,513.0131,116.684
30/09/1994,500.4661,114.237
31/10/1994,511.6858,113.7
30/11/1994,493.0763,113.45
30/12/1994,500.3514,114.545
31/01/1995,513.2997,117.15
28/02/1995,533.2844,120.57
31/03/1995,548.9924,121.199
28/04/1995,565.1282,123.159
31/05/1995,587.6591,129.835
30/06/1995,601.2934,131.066
31/07/1995,621.2053,130.145
31/08/1995,622.7374,131.863
29/09/1995,649.0049,133.217
31/10/1995,646.6615,135.706
30/11/1995,675.0009,138.555
29/12/1995,687.9754,141.722
31/01/1996,711.2928,142.584
29/02/1996,717.9016,139.113
29/03/1996,724.8127,137.528
30/04/1996,735.4322,135.63
31/05/1996,754.3161,135.168
28/06/1996,757.1792,137.165
31/07/1996,723.6944,137.2
30/08/1996,738.9847,136.421
30/09/1996,780.5421,139.212
31/10/1996,802.0158,143.166
29/11/1996,862.5805,146.338
31/12/1996,845.477,143.866
31/01/1997,898.2178,143.978
28/02/1997,905.27,143.895
31/03/1997,868.1461,141.475
30/04/1997,919.8667,143.829
30/05/1997,975.8259,145.38
30/06/1997,1019.52,147.279
31/07/1997,1100.5114,152.416
29/08/1997,1038.8719,150.001
30/09/1997,1095.7335,152.981
31/10/1997,1059.1335,156.042
28/11/1997,1108.1297,156.488
31/12/1997,1127.1227,158.648
30/01/1998,1139.5254,161.871
27/02/1998,1221.664,161.177
31/03/1998,1284.1641,161.618
30/04/1998,1297.0078,162.265
29/05/1998,1274.7043,163.882
30/06/1998,1326.4326,165.763
31/07/1998,1312.2908,166.228
31/08/1998,1122.7484,172.662
30/09/1998,1194.6803,180.023
30/10/1998,1291.7578,178.709
30/11/1998,1370.0137,177.641
31/12/1998,1448.8801,178.761
29/01/1999,1509.4446,179.416
26/02/1999,1462.5284,172.886
31/03/1999,1521.0256,173.905
30/04/1999,1579.9144,174.358
31/05/1999,1542.6543,171.224
30/06/1999,1628.1987,170.84
30/07/1999,1577.3922,170.015
31/08/1999,1569.6024,169.883
30/09/1999,1526.6235,171.683
29/10/1999,1623.1773,171.318
30/11/1999,1656.1646,170.761
31/12/1999,1753.6266,169.074
31/01/2000,1665.5305,168.043
29/02/2000,1634.0214,169.882
31/03/2000,1793.7755,174.852
28/04/2000,1739.8169,173.743
31/05/2000,1704.0926,174.55
30/06/2000,1746.11,177.981
31/07/2000,1718.9448,178.844
31/08/2000,1825.6566,181.607
29/09/2000,1729.294,182.262
31/10/2000,1721.9508,184.106
30/11/2000,1586.2995,188.504
29/12/2000,1594.071,193.175
31/01/2001,1650.5924,195.143
28/02/2001,1500.1718,197.472
30/03/2001,1405.189,198.588
30/04/2001,1514.288,195.221
31/05/2001,1524.4455,195.501
29/06/2001,1487.3459,195.946
31/07/2001,1472.6841,201.544
31/08/2001,1380.5879,204.124
28/09/2001,1269.1119,209.01
31/10/2001,1293.3071,214.471
30/11/2001,1392.4995,208.815
31/12/2001,1404.7081,205.941
31/01/2002,1384.2226,207.18
28/02/2002,1357.5027,209.534
29/03/2002,1408.5544,203.718
30/04/2002,1323.1832,209.139
31/05/2002,1313.4618,211.238
28/06/2002,1220.0531,215.256
31/07/2002,1124.981,221.418
30/08/2002,1132.3327,226.6
30/09/2002,1009.3836,235.053
31/10/2002,1098.138,232.351
29/11/2002,1162.7119,228.04
31/12/2002,1094.4242,235.501
31/01/2003,1065.8104,234.081
28/02/2003,1049.7961,239.028
31/03/2003,1059.9487,238.352
30/04/2003,1147.1891,238.83
30/05/2003,1207.5691,246.424
30/06/2003,1222.9951,245.265
31/07/2003,1244.5202,232.337
29/08/2003,1268.7396,232.474
30/09/2003,1255.2891,242.101
31/10/2003,1326.23,237.364
28/11/2003,1337.8646,237.481
31/12/2003,1407.9483,240.085
30/01/2004,1433.7883,242.432
27/02/2004,1453.7097,246.377
31/03/2004,1431.7781,249.532
30/04/2004,1409.3355,238.807
31/05/2004,1428.623,237.555
30/06/2004,1456.3849,239.523
30/07/2004,1408.1925,242.028
31/08/2004,1413.8293,248.901
30/09/2004,1429.1405,249.537
29/10/2004,1450.9698,251.976
30/11/2004,1509.6662,247.306
31/12/2004,1560.9633,250.318
31/01/2005,1522.9172,252.165
28/02/2005,1554.9511,248.552
31/03/2005,1527.4457,247.675
29/04/2005,1498.4864,253.456
31/05/2005,1546.1266,257.711
30/06/2005,1548.3388,259.548
29/07/2005,1605.8979,254.201
31/08/2005,1591.2586,259.239
30/09/2005,1604.1412,254.795
31/10/2005,1577.3775,251.856
30/11/2005,1636.9821,253.447
30/12/2005,1637.5016,256.212
31/01/2006,1680.8603,254.984
28/02/2006,1685.4025,254.629
31/03/2006,1706.3448,251.188
28/04/2006,1729.2474,249.658
31/05/2006,1679.5368,249.306
30/06/2006,1681.7299,250.155
31/07/2006,1692.0901,254.132
31/08/2006,1732.2867,258.854
29/09/2006,1776.8547,261.751
31/10/2006,1834.7283,263.31
30/11/2006,1869.5724,266.655
29/12/2006,1895.6272,263.196
31/01/2007,1924.2696,262.538
28/02/2007,1886.7438,267.688
30/03/2007,1907.7838,267.609
30/04/2007,1992.2556,269.242
31/05/2007,2061.6965,265.275
29/06/2007,2027.4409,264.083
31/07/2007,1964.6644,270.231
31/08/2007,1994.0629,275.765
28/09/2007,2068.5371,276.18
31/10/2007,2101.4365,279.435
30/11/2007,2015.1298,290.562
31/12/2007,2001.0865,290.336
31/01/2008,1881.0761,300.921
29/02/2008,1820.025,304.422
31/03/2008,1812.1406,308.53
30/04/2008,1900.3672,301.444
30/05/2008,1924.9784,295.081
30/06/2008,1762.8447,298.513
31/07/2008,1748.0192,300.635
29/08/2008,1773.3152,305.287
30/09/2008,1615.472,305.472
31/10/2008,1344.1908,301.916
28/11/2008,1247.6986,326.533
31/12/2008,1260.849,343.382
30/01/2009,1154.6985,329.25
27/02/2009,1032.1455,327.215
31/03/2009,1122.3843,338.829
30/04/2009,1229.6927,328.93
29/05/2009,1298.359,322.255
30/06/2009,1300.9575,320.81
31/07/2009,1399.1978,323.508
31/08/2009,1449.6285,326.204
30/09/2009,1503.6743,329.779
30/10/2009,1475.7635,329.777
30/11/2009,1564.2,336.288
31/12/2009,1594.4045,322.261
29/01/2010,1537.1313,329.826
26/02/2010,1584.6575,330.695
31/03/2010,1680.2431,327.328
30/04/2010,1706.7592,332.706
31/05/2010,1570.6088,342.228
30/06/2010,1488.501,352.884
30/07/2010,1592.7281,356.188
31/08/2010,1520.9523,368.143
30/09/2010,1656.6384,368.151
29/10/2010,1719.6393,367.924
30/11/2010,1719.915,364.711
31/12/2010,1834.8208,352.537
31/01/2011,1878.2989,352.816
28/02/2011,1942.6129,351.881
31/03/2011,1943.3514,351.593
29/04/2011,2000.852,357.709
31/05/2011,1978.1597,366.449
30/06/2011,1945.1033,365.212
29/07/2011,1905.6079,376.34
31/08/2011,1801.9426,393.778
30/09/2011,1675.3706,401.269
31/10/2011,1858.3023,397.317
30/11/2011,1854.1224,399.687
30/12/2011,1873.0111,406.28
31/01/2012,1956.9141,410.292
29/02/2012,2041.4817,406.568
30/03/2012,2108.4873,400.261
30/04/2012,2095.2397,409.98
31/05/2012,1969.4319,421.584
29/06/2012,2050.4782,419.594
31/07/2012,2078.9272,425.333
31/08/2012,2125.7517,424.783
28/09/2012,2180.6715,423.507
31/10/2012,2140.474,421.953
30/11/2012,2152.7635,426.045
31/12/2012,2172.2783,422.585
31/01/2013,2284.7397,416.588
28/02/2013,2315.7313,421.536
29/03/2013,2402.5429,423.235
30/04/2013,2448.7744,428.972
31/05/2013,2506.0536,416.53
28/06/2013,2472.4239,405.426
31/07/2013,2598.1653,404.469
30/08/2013,2523.0411,398.587
30/09/2013,2602.1689,406.103
31/10/2013,2721.6551,408.965
29/11/2013,2804.483,405.786
31/12/2013,2875.1797,397.587
31/01/2014,2775.8397,409.189
28/02/2014,2902.5908,410.951
31/03/2014,2926.9762,408.414
30/04/2014,2948.5679,411.577
30/05/2014,3017.6133,418.447
30/06/2014,3079.906,417.675
31/07/2014,3037.5022,416.854
29/08/2014,3158.8295,424.257
30/09/2014,3114.5904,420.451
31/10/2014,3190.508,426.479
28/11/2014,3276.181,432.784
31/12/2014,3267.7511,432.494
30/01/2015,3169.7114,450.76
27/02/2015,3351.7653,439.682
31/03/2015,3298.7791,443.576
30/04/2015,3330.42,441.154
29/05/2015,3373.2442,439.198
30/06/2015,3308.0417,432.45
31/07/2015,3377.3222,439.021
31/08/2015,3173.8656,438.764
30/09/2015,3095.3992,446.432
30/10/2015,3356.3623,443.247
30/11/2015,3366.3413,441.548
31/12/2015,3312.9704,439.877
